"Waterbody","Species","Month","Day of Week","Mean Fishing Effort","SE for Mean Fishing Effort","Total Fishing Effort","SE for Total Fishing Effort","Mean HarvestORCatch","SE for Mean HarvestORCatch","Total HarvestORCatch","SE for Total HarvestORCatch","Mean Number of Angler Trips","SE for Mean Number of Angler Trips","Total Number of Angler Trips","SE for Total Number of Angler Trips","Mean HarvestORCatch Per Unit Effort"
"East Canyon Res","bnt",7,"wd",82.8333333333333,9.07226662601685,3313.33333333333,362.890665040674,0,0,0,0,16.1305061356891,1.91164062393891,645.220245427562,76.4656249575563,0
"East Canyon Res","bnt",7,"we",234.85,17.4106136947935,5166.7,383.033501285457,0.35856992639327,0.208432799465629,7.88853838065195,4.58552158824385,36.5229162651111,2.80651579864015,803.504157832445,61.7433475700832,0.0014963044568497
"East Canyon Res","bnt",8,"wd",66.8888888888889,9.15072297143685,3076.88888888889,420.933256686095,0,0,0,0,10.94518321513,0.872200546039785,503.478427895981,40.1212251178301,0
"East Canyon Res","bnt",8,"we",213.111111111111,13.5242599426322,3409.77777777778,216.388159082115,0,0,0,0,31.0010167164128,2.29240009347402,496.016267462604,36.6784014955843,0
"East Canyon Res","bnt",9,"wd",45.3333333333333,5.92412340310683,1904,248.813182930487,0,0,0,0,11.2073603369256,1.4979840688927,470.709134150873,62.9153308934934,0
"East Canyon Res","bnt",9,"we",154.5,15.8779342578402,2781,285.802816641124,0,0,0,0,24.6872792713326,2.40241843717801,444.371026883987,43.2435318692043,0
"East Canyon Res","smb",4,"wd",20.0277777777778,4.48428325335234,841.166666666667,188.339896640798,0,0,0,0,2.98923107890499,0.697788696661115,125.54770531401,29.3071252597668,0
"East Canyon Res","smb",4,"we",141.166666666667,22.0940574938876,2541,397.693034889976,0,0,0,0,21.4342676821679,4.83004033836066,385.816818279022,86.9407260904919,0
"East Canyon Res","smb",5,"wd",97.0833333333333,11.3825960160014,4077.5,478.069032672061,0,0,0,0,16.5308279672214,2.23417392616998,694.2947746233,93.835304899139,0
"East Canyon Res","smb",5,"we",286.25,50.8244527761982,5725,1016.48905552396,0,0,0,0,43.0501574448943,7.98924537592075,861.003148897886,159.784907518415,0
"East Canyon Res","smb",6,"wd",120.833333333333,11.6052337294785,5316.66666666667,510.630284097053,2.45238095238095,1.07003218430506,107.904761904762,47.0814161094225,20.059551180463,2.70106616872005,882.620251940372,118.846911423682,0.0128144107201699
"East Canyon Res","smb",6,"we",353.75,NA,5660,NA,1.11228813559322,NA,17.7966101694915,NA,61.7766692546301,NA,988.426708074081,NA,0.00582147477360931
"East Canyon Res","smb",7,"wd",82.8333333333333,9.07226662601685,3313.33333333333,362.890665040674,3.15892710496369,0.484091918700949,126.357084198548,19.3636767480379,16.1305061356891,1.91164062393891,645.220245427562,76.4656249575563,0.0482279241397065
"East Canyon Res","smb",7,"we",234.85,17.4106136947935,5166.7,383.033501285457,0.448695652173913,0.260952141713915,9.87130434782609,5.74094711770613,36.5229162651111,2.80651579864015,803.504157832445,61.7433475700832,0.00141317643146916
"East Canyon Res","smb",8,"wd",66.8888888888889,9.15072297143685,3076.88888888889,420.933256686095,1.43888888888889,0.817801516040869,66.1888888888889,37.61886973788,10.94518321513,0.872200546039785,503.478427895981,40.1212251178301,0.0112865083996192
"East Canyon Res","smb",8,"we",213.111111111111,13.5242599426322,3409.77777777778,216.388159082115,2.26359438052986,0.664225085372334,36.2175100884778,10.6276013659573,31.0010167164128,2.29240009347402,496.016267462604,36.6784014955843,0.0103141013189465
"East Canyon Res","smb",9,"wd",45.3333333333333,5.92412340310683,1904,248.813182930487,3.00885668276973,1.1644927545597,126.371980676329,48.9086956915075,11.2073603369256,1.4979840688927,470.709134150873,62.9153308934934,0.0418665503706934
"East Canyon Res","smb",9,"we",154.5,15.8779342578402,2781,285.802816641124,1.30637624359361,0.473250932727835,23.514772384685,8.51851678910102,24.6872792713326,2.40241843717801,444.371026883987,43.2435318692043,0.00444800463719578
